team_name,starting_budget,starting_gdp,starting_gini,key_short_name,cost,remaining_budget,new_gdp,new_gini,game_round,previous_policies,policy2,cost2,type,value,description,gamble,stake,win
Team 1,2.50E+09,100,0.3,1 Tax rate,1.00E+08,2.40E+09,100,0.294,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team 2,2.50E+09,100,0.3,1 Tax rate,1.00E+08,2.40E+09,100,0.294,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team 3,2.50E+09,100,0.3,1 Tax rate,1.00E+08,2.40E+09,100,0.294,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team 4,2.50E+09,100,0.3,1 Tax rate,1.00E+08,2.40E+09,100,0.294,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team 5,2.50E+09,100,0.3,1 Tax rate,1.00E+08,2.40E+09,100,0.294,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mr Monty Carlo,2.50E+09,100,0.3,21 Consumption tax,2.50E+08,2.25E+09,104,0.312,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Team 1,2.16E+09,100,0.294,2 UBI,1.50E+09,6.60E+08,96,0.2793,2,1,NA,NA,Austerity,10,Austerity has led to your budget being reduced by 10%,FALSE,NA,NA
Team 2,2.16E+09,100,0.294,2 UBI,1.50E+09,6.60E+08,96,0.2793,2,1,NA,NA,Austerity,10,Austerity has led to your budget being reduced by 10%,FALSE,NA,NA
Team 3,2.16E+09,100,0.294,2 UBI,1.50E+09,6.60E+08,96,0.2793,2,1,NA,NA,Austerity,10,Austerity has led to your budget being reduced by 10%,FALSE,NA,NA
Team 4,2.16E+09,100,0.294,2 UBI,1.50E+09,6.60E+08,96,0.2793,2,1,NA,NA,Austerity,10,Austerity has led to your budget being reduced by 10%,FALSE,NA,NA
Team 5,2.16E+09,100,0.294,2 UBI,1.50E+09,6.60E+08,96,0.2793,2,1,NA,NA,Austerity,10,Austerity has led to your budget being reduced by 10%,FALSE,NA,NA
Mr Monty Carlo,2.03E+09,104,0.312,25 Social capital,5.00E+07,1.98E+09,109.2,0.3214,2,21,NA,NA,Austerity,10,Austerity has led to your budget being reduced by 10%,TRUE,2.50E+08,TRUE
Team 1,6.60E+08,96,0.2793,3 Min. wage,2.50E+08,4.10E+08,93.12,0.2597,3,"1, 2",NA,NA,Refugee Crisis,0,A refugee crisis has not led to your gini coefficient resetting to 0.3,NA,NA,NA
Team 2,6.60E+08,96,0.2793,3 Min. wage,2.50E+08,4.10E+08,93.12,0.2597,3,"1, 2",NA,NA,Refugee Crisis,0,A refugee crisis has not led to your gini coefficient resetting to 0.3,NA,NA,NA
Team 3,6.60E+08,96,0.2793,3 Min. wage,2.50E+08,4.10E+08,93.12,0.2597,3,"1, 2",NA,NA,Refugee Crisis,0,A refugee crisis has not led to your gini coefficient resetting to 0.3,NA,NA,NA
Team 4,6.60E+08,96,0.2793,3 Min. wage,2.50E+08,4.10E+08,93.12,0.2597,3,"1, 2",NA,NA,Refugee Crisis,0,A refugee crisis has not led to your gini coefficient resetting to 0.3,NA,NA,NA
Team 5,6.60E+08,96,0.2793,3 Min. wage,2.50E+08,4.10E+08,93.12,0.2597,3,"1, 2",NA,NA,Refugee Crisis,0,A refugee crisis has not led to your gini coefficient resetting to 0.3,NA,NA,NA
